Srno,Company_Name,Bid_Opening_Date,Bid_Closing_Date,Face_Value,Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Issue_size,Fresh_issue,Offer_for_sale,Basis_of_Allotment_Date,Initiation_of_refunds,Credit_of_shares_to_demat_account,Listing_date,Listing_day,Listing_year,BSE_script_code,NSE_symbol,Listing_in,ISIN,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Registrar_Name,Pre_Issue_Share_Holding,Post_Issue_Share_Holding,NSE_Listing_day_open,NSE_Listing_day_low,NSE_Listing_day_high,NSE_Listing_day_last_trade,NSE_Listing_day_volume,NSE_SME_Listing_day_open,NSE_SME_Listing_day_low,NSE_SME_Listing_day_high,NSE_SME_Listing_day_last_trade,NSE_SME_Listing_day_volume,BSE_Listing_day_open,BSE_Listing_day_low,BSE_Listing_day_high,BSE_Listing_day_last_trade,BSE_Listing_day_volume,BSE_SME_Listing_day_open,BSE_SME_Listing_day_low,BSE_SME_Listing_day_high,BSE_SME_Listing_day_last_trade,BSE_SME_Listing_day_volume
168,First Winner Industries Limited ,"Jun 9, 2008","Jun 17, 2008",10,115,125,50,"BSE, NSE","5,500,000 Eq Shares of ₹10 (aggregating up to ₹68.75 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, July 8, 2008",Tuesday,2008,532996,FIRSTWIN,B,INE315J01015,NaN,NaN,NaN,1.26,Link Intime India Private Ltd,NaN,NaN,110.00,81.00,129.90,89.20,12423126,NaN,NaN,NaN,NaN,NaN,125.00,80.50,125.00,89.50,13592396,NaN,NaN,NaN,NaN,NaN
169,Archidply Industries Ltd ,"Jun 11, 2007","Jun 17, 2008",10,70,80,75,"BSE, NSE","6,615,720 Eq Shares of ₹10 (aggregating up to ₹48.96 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, July 4, 2008",Friday,2008,532994,ARCHIDPLY,B,INE877I01016,NaN,NaN,NaN,1.52,KFintech Private Limited,NaN,NaN,72.90,48.80,72.90,50.55,9168307,NaN,NaN,NaN,NaN,NaN,74.55,48.80,74.55,50.45,11319833,NaN,NaN,NaN,NaN,NaN
170,Lotus Eye Care Hospital Limited ,"Jun 12, 2008","Jun 20, 2008",10,36,38,150,"BSE, NSE","10,000,000 Eq Shares of ₹10 (aggregating up to ₹38.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, July 11, 2008",Friday,2008,532998,LOTUSEYE,B,INE947I01017,NaN,NaN,NaN,1.18,S.K.D.C Consultants Limited,NaN,NaN,40.00,32.50,40.00,35.65,16440754,NaN,NaN,NaN,NaN,NaN,35.00,32.05,38.95,35.50,19470277,NaN,NaN,NaN,NaN,NaN
171,Somi Conveyor Beltings Limited ,"Jun 24, 2008","Jun 27, 2008",10,35,35,NaN,BSE,"6,227,860 Eq Shares of ₹10 (aggregating up to ₹21.80 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, July 24, 2008",Thursday,2008,533001,NaN,B,INE323J01019,NaN,NaN,NaN,NaN,Mondkar Computers Private Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.65,24.70,37.65,25.90,7587747,NaN,NaN,NaN,NaN,NaN
172,KSK Energy Ventures Ltd ,"Jun 23, 2008","Jun 25, 2008",10,240,255,25,"BSE, NSE","34,611,000 Eq Shares of ₹10 (aggregating up to ₹830.66 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, July 14, 2008",Monday,2008,532997,KSK,B,INE143H01015,NaN,NaN,NaN,1.50,KFintech Private Limited,NaN,NaN,210.05,176.65,234.80,191.75,12094707,NaN,NaN,NaN,NaN,NaN,220.00,176.00,234.80,190.50,9926869,NaN,NaN,NaN,NaN,NaN
173,Birla Cotsyn (India) Limited ,"Jun 30, 2008","Jul 9, 2008",10,12,14,350,"BSE, NSE","102,982,729 Eq Shares of ₹10 (aggregating up to ₹144.18 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, July 30, 2008",Wednesday,2008,533006,BIRLACOT,B,INE655I01024,NaN,NaN,NaN,1.11,Adroit Corporate Services Pvt Ltd,NaN,NaN,14.90,8.75,14.90,9.45,43275411,NaN,NaN,NaN,NaN,NaN,14.70,8.55,17.50,9.20,52087208,NaN,NaN,NaN,NaN,NaN
174,Vishal Information Technologies Ltd ,"Jul 21, 2008","Jul 24, 2008",10,140,150,40,"BSE, NSE","2,790,000 Eq Shares of ₹10 (aggregating up to ₹41.85 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, August 11, 2008",Monday,2008,533011,VITLINFO,B,INE108J01014,NaN,NaN,NaN,1.19,Link Intime India Private Ltd,NaN,NaN,130.00,125.60,198.35,194.60,11141060,NaN,NaN,NaN,NaN,NaN,150.00,145.00,197.20,194.15,11726527,NaN,NaN,NaN,NaN,NaN
175,Nu Tek India Limited ,"Jul 29, 2008","Aug 1, 2008",10,170,192,30,"BSE, NSE","4,500,000 Eq Shares of ₹10 (aggregating up to ₹86.40 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, August 27, 2008",Wednesday,2008,533015,NUTEK,B,INE318J01027,NaN,NaN,NaN,1.63,Aarthi Consultants Pvt Ltd.,NaN,NaN,195.00,193.75,217.00,199.15,14736158,NaN,NaN,NaN,NaN,NaN,201.10,194.00,225.00,199.30,13098706,NaN,NaN,NaN,NaN,NaN
176,Austral Coke & Projects Ltd ,"Aug 7, 2008","Aug 13, 2008",10,164,196,34,"BSE, NSE","7,260,000 Eq Shares of ₹10 (aggregating up to ₹142.30 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, September 4, 2008",Thursday,2008,533016,AUSTRAL,B,INE455J01019,NaN,NaN,NaN,1.65,Link Intime India Private Ltd,NaN,NaN,201.40,201.40,324.85,225.95,22110363,NaN,NaN,NaN,NaN,NaN,206.00,206.00,308.80,225.20,18828962,NaN,NaN,NaN,NaN,NaN
177,Resurgere Mines & Minerals India Ltd ,"Aug 11, 2008","Aug 13, 2008",10,263,272,20,"BSE, NSE","4,450,000 Eq Shares of ₹10 (aggregating up to ₹120.15 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, September 1, 2008",Monday,2008,533017,RMMIL,B,INE774I01031,NaN,NaN,NaN,1.16,Link Intime India Private Ltd,NaN,NaN,285.00,278.20,568.90,533.55,33585089,NaN,NaN,NaN,NaN,NaN,272.05,272.05,562.80,524.35,33197409,NaN,NaN,NaN,NaN,NaN
178,20 Microns Limited ,"Sep 8, 2008","Sep 11, 2008",10,50,55,100,"BSE, NSE","4,350,632 Eq Shares of ₹10 (aggregating up to ₹23.93 Cr)",NaN,NaN,NaN,NaN,NaN,"Saturday, September 6, 2008",Saturday,2008,533022,20MICRONS,B,INE144J01027,NaN,NaN,NaN,4.29,Link Intime India Private Ltd,NaN,NaN,80.00,31.60,80.00,33.65,11750865,NaN,NaN,NaN,NaN,NaN,50.00,31.50,96.25,33.30,12913246,NaN,NaN,NaN,NaN,NaN
179,Chemcel Bio-tech Limited ,"Sep 9, 2008","Sep 12, 2008",10,16,16,NaN,BSE,"15,400,000 Eq Shares of ₹10 (aggregating up to ₹24.64 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, October 13, 2008",Monday,2008,533026,NaN,B,INE213J01012,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.00,4.75,16.25,5.25,17400597,NaN,NaN,NaN,NaN,NaN
180,Alkali Metals Limited ,"Oct 7, 2008","Oct 15, 2008",10,86,103,65,"BSE, NSE","2,550,000 Eq Shares of ₹10 (aggregating up to ₹26.27 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, November 6, 2008",Thursday,2008,533029,ALKALI,B,INE773I01017,NaN,NaN,NaN,1.04,Cameo Corporate Services Limited,NaN,NaN,99.00,99.00,179.00,173.40,10670652,NaN,NaN,NaN,NaN,NaN,90.00,90.50,179.30,173.15,10316125,NaN,NaN,NaN,NaN,NaN
181,Edserv Softsystems Limited ,"Feb 5, 2009","Feb 9, 2009",10,55,60,100,"BSE, NSE","3,973,908 Eq Shares of ₹10 (aggregating up to ₹23.84 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, March 2, 2009",Monday,2009,533055,EDSERV,B,INE889J01019,1.08,3.10,1.02,1.30,KFintech Private Limited,NaN,NaN,60.00,58.20,147.00,136.40,36403634,NaN,NaN,NaN,NaN,NaN,55.00,55.00,147.00,137.55,34104135,NaN,NaN,NaN,NaN,NaN
182,Rishabhdev Technocable Ltd ,"Jun 4, 2009","Jun 9, 2009",10,29,33,200,BSE,"6,854,500 Eq Shares of ₹10 (aggregating up to ₹22.62 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, June 29, 2009",Monday,2009,533083,NaN,B,INE685F01019,0.23,12.15,16.63,7.76,Mondkar Computers Private Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.00,25.85,47.00,27.20,25318301,NaN,NaN,NaN,NaN,NaN
183,Mahindra Holidays and Resorts India Ltd ,"Jun 23, 2009","Jun 26, 2009",10,275,325,20,"BSE, NSE","9,265,275 Eq Shares of ₹10 (aggregating up to ₹277.96 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, July 16, 2009",Thursday,2009,533088,MHRIL,B,INE998I01010,12.83,11.01,3.36,9.80,KFintech Private Limited,NaN,NaN,370.00,311.35,374.50,317.45,12746398,NaN,NaN,NaN,NaN,NaN,315.00,311.10,339.70,317.10,8496446,NaN,NaN,NaN,NaN,NaN
184,Excel Infoways Limited ,"Jul 14, 2009","Jul 17, 2009",10,80,85,80,"BSE, NSE","5,667,000 Eq Shares of ₹10 (aggregating up to ₹48.17 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, August 3, 2009",Monday,2009,533090,EXCEL,B,INE688J01015,0.49,5.31,2.64,1.97,Link Intime India Private Ltd,NaN,NaN,86.00,86.00,110.00,95.85,13820975,NaN,NaN,NaN,NaN,NaN,93.05,91.80,102.40,95.65,12818724,NaN,NaN,NaN,NaN,NaN
185,Raj Oil Mills Limited ,"Jul 20, 2009","Jul 23, 2009",10,100,120,50,"BSE, NSE","9,500,000 Eq Shares of ₹10 (aggregating up to ₹114.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, August 12, 2009",Wednesday,2009,533093,RAJOIL,B,INE294G01018,0.75,3.98,0.77,1.24,Bigshare Services Pvt Ltd,NaN,NaN,120.00,115.25,133.50,119.25,16784883,NaN,NaN,NaN,NaN,NaN,125.05,115.60,133.70,119.30,17391035,NaN,NaN,NaN,NaN,NaN
186,Adani Power Limited ,"Jul 28, 2009","Jul 31, 2009",10,90,100,65,"BSE, NSE","301,652,031 Eq Shares of ₹10 (aggregating up to ₹3,016.52 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, August 20, 2009",Thursday,2009,533096,ADANIPOWER,B,INE814H01011,39.48,8.62,2.97,21.64,KFintech Private Limited,NaN,NaN,108.00,98.30,110.00,100.10,164328256,NaN,NaN,NaN,NaN,NaN,105.00,98.50,107.90,100.05,96423860,NaN,NaN,NaN,NaN,NaN
187,NHPC Limited ,"Aug 7, 2009","Aug 12, 2009",10,30,36,175,"BSE, NSE","1,677,374,015 Eq Shares of ₹10 (aggregating up to ₹6,038.55 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, September 1, 2009",Tuesday,2009,533098,NHPC,B,INE848E01016,29.16,56.71,3.87,23.74,KFintech Private Limited,NaN,NaN,42.00,36.65,42.00,36.75,508811539,NaN,NaN,NaN,NaN,NaN,39.00,36.60,39.75,36.70,193593717,NaN,NaN,NaN,NaN,NaN
188,Oil India Limited ,"Sep 7, 2009","Sep 10, 2009",10,950,1050,6,"BSE, NSE","26,449,982 Eq Shares of ₹10 (aggregating up to ₹2,777.25 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, September 30, 2009",Wednesday,2009,533106,OIL,B,INE274J01014,53.83,10.48,1.76,30.82,KFintech Private Limited,NaN,NaN,"1,096.00","1,090.00","1,156.70","1,141.20",19748012,NaN,NaN,NaN,NaN,NaN,"1,019.00","1,019.00","1,156.00","1,140.55",8737957,NaN,NaN,NaN,NaN,NaN
189,Jindal Cotex Limited ,"Aug 27, 2009","Sep 1, 2009",10,70,75,90,"BSE, NSE","11,250,000 Eq Shares of ₹10 (aggregating up to ₹84.38 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, September 22, 2009",Tuesday,2009,533103,JINDCOT,B,INE904J01016,0.66,5.93,3.09,2.20,Bigshare Services Pvt Ltd,NaN,NaN,77.00,76.10,93.50,87.30,29227437,NaN,NaN,NaN,NaN,NaN,75.00,75.00,93.45,87.25,24326202,NaN,NaN,NaN,NaN,NaN
190,Pipavav Shipyard Limited ,"Sep 16, 2009","Sep 18, 2009",10,55,60,110,"BSE, NSE","85,450,225 Eq Shares of ₹10 (aggregating up to ₹495.61 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, October 9, 2009",Friday,2009,533107,RDEL,B,INE542F01012,10.63,14.82,2.90,8.25,KFintech Private Limited,NaN,NaN,61.10,53.85,61.10,56.70,81229559,NaN,NaN,NaN,NaN,NaN,60.05,53.85,64.70,56.80,50390390,NaN,NaN,NaN,NaN,NaN
191,Euro Multivision Limited ,"Sep 22, 2009","Sep 24, 2009",10,70,75,90,"BSE, NSE","8,800,000 Eq Shares of ₹10 (aggregating up to ₹66.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, October 15, 2009",Thursday,2009,533109,EUROMULTI,B,INE063J01011,1.23,3.78,1.89,1.81,Link Intime India Private Ltd,NaN,NaN,75.00,51.65,80.70,53.55,21536334,NaN,NaN,NaN,NaN,NaN,70.00,51.60,80.90,53.20,20729385,NaN,NaN,NaN,NaN,NaN
192,Thinksoft Global Services Ltd ,"Sep 22, 2009","Oct 1, 2009",10,115,125,50,"BSE, NSE","3,646,000 Eq Shares of ₹10 (aggregating up to ₹45.58 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, October 26, 2009",Monday,2009,533121,SQSBFSI,B,INE201K01015,0.31,6.05,4.31,2.57,KFintech Private Limited,NaN,NaN,126.00,126.00,169.80,164.40,26247157,NaN,NaN,NaN,NaN,NaN,100.00,100.00,170.00,164.30,17924873,NaN,NaN,NaN,NaN,NaN
193,Indiabulls Power Limited ,"Oct 12, 2009","Oct 15, 2009",10,40,45,150,"BSE, NSE","339,800,000 Eq Shares of ₹10 (aggregating up to ₹1,529.10 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, October 30, 2009",Friday,2009,533122,RTNPOWER,B,INE399K01017,40.49,5.76,1.09,21.84,KFintech Private Limited,NaN,NaN,45.05,35.35,45.05,39.50,173896784,NaN,NaN,NaN,NaN,NaN,44.95,35.00,45.50,39.25,102761429,NaN,NaN,NaN,NaN,NaN
194,Den Networks Limited ,"Oct 28, 2009","Oct 30, 2009",10,195,205,30,"BSE, NSE","18,567,240 Eq Shares of ₹10 (aggregating up to ₹364.46 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, November 24, 2009",Tuesday,2009,533137,DEN,B,INE947J01015,1.00,4.12,0.10,1.04,KFintech Private Limited,NaN,NaN,195.00,149.50,199.80,163.40,10255795,NaN,NaN,NaN,NaN,NaN,195.00,149.50,197.00,163.10,7730791,NaN,NaN,NaN,NaN,NaN
195,Astec LifeSciences Limited ,"Oct 29, 2009","Nov 4, 2009",10,77,82,75,"BSE, NSE","7,500,000 Eq Shares of ₹10 (aggregating up to ₹61.50 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, November 25, 2009",Wednesday,2009,533138,ASTEC,B,INE563J01010,0.61,3.00,2.36,1.56,Bigshare Services Pvt Ltd,NaN,NaN,83.00,83.00,90.70,84.00,13242907,NaN,NaN,NaN,NaN,NaN,85.55,80.00,90.70,83.90,12260573,NaN,NaN,NaN,NaN,NaN
196,Cox and Kings (India) Limited ,"Nov 18, 2009","Nov 20, 2009",10,316,330,20,"BSE, NSE","18,496,640 Eq Shares of ₹10 (aggregating up to ₹610.39 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, December 11, 2009",Friday,2009,533144,COX&KINGS,B,INE008I01026,9.95,10.70,0.98,6.31,KFintech Private Limited,NaN,NaN,343.20,343.20,433.90,425.40,29896728,NaN,NaN,NaN,NaN,NaN,304.10,304.10,433.45,426.05,16954687,NaN,NaN,NaN,NaN,NaN
197,MBL Infrastructures Ltd ,"Nov 27, 2009","Dec 1, 2009",10,165,180,35,"BSE, NSE","5,700,000 Eq Shares of ₹10 (aggregating up to ₹102.60 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, January 11, 2010",Monday,2010,533152,MBLINFRA,B,INE912H01013,3.35,2.65,0.40,1.97,Link Intime India Private Ltd,NaN,NaN,185.00,185.00,219.40,206.55,8452266,NaN,NaN,NaN,NaN,NaN,190.00,190.00,218.00,205.75,5299220,NaN,NaN,NaN,NaN,NaN
198,JSW Energy Limited ,"Dec 7, 2009","Dec 9, 2009",10,100,115,60,"BSE, NSE","269,821,236 Eq Shares of ₹10 (aggregating up to ₹2,700.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, January 4, 2010",Monday,2010,533148,JSWENERGY,B,INE121E01018,2.88,0.15,0.40,1.68,KFintech Private Limited,NaN,NaN,106.00,100.00,106.35,100.85,76470142,NaN,NaN,NaN,NaN,NaN,102.00,99.90,106.40,100.75,35110028,NaN,NaN,NaN,NaN,NaN
199,Godrej Properties Limited ,"Dec 9, 2009","Dec 11, 2009",10,490,530,13,"BSE, NSE","9,429,750 Eq Shares of ₹10 (aggregating up to ₹468.85 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, January 5, 2010",Tuesday,2010,533150,GODREJPROP,B,INE484J01027,7.45,0.41,0.38,4.00,KFintech Private Limited,NaN,NaN,511.00,502.15,586.80,537.25,8707481,NaN,NaN,NaN,NaN,NaN,510.00,500.00,586.70,534.55,5260628,NaN,NaN,NaN,NaN,NaN
200,D B Corp Limited ,"Dec 11, 2009","Dec 15, 2009",10,185,212,30,"BSE, NSE","18,175,000 Eq Shares of ₹10 (aggregating up to ₹384.22 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, January 6, 2010",Wednesday,2010,533151,DBCORP,B,INE950I01011,68.52,26.17,3.42,39.54,KFintech Private Limited,NaN,NaN,254.00,250.55,274.70,265.90,32223215,NaN,NaN,NaN,NaN,NaN,250.00,235.50,274.60,265.90,19917851,NaN,NaN,NaN,NaN,NaN
201,Infinite Computer Solutions India Ltd ,"Jan 11, 2010","Jan 13, 2010",10,155,165,40,"BSE, NSE","11,503,000 Eq Shares of ₹10 (aggregating up to ₹189.80 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, February 3, 2010",Wednesday,2010,533154,INFINITE,B,INE486J01014,48.44,106.02,11.08,43.22,Bigshare Services Pvt Ltd,NaN,NaN,170.00,170.00,206.00,191.80,24435160,NaN,NaN,NaN,NaN,NaN,178.35,178.35,205.80,191.60,16382299,NaN,NaN,NaN,NaN,NaN
202,NTPC Limited FPO (NTPC FPO) Detail,"Feb 3, 2010","Feb 5, 2010",10,201,,28,"BSE, NSE","412,273,220 Eq Shares of ₹10 (aggregating up to ₹8,480.10 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, March 18, 2010",Thursday,2010,532555,NTPC,NaN,INE733E01010,2.18,0.43,0.16,1.20,KFintech Private Limited,NaN,NaN,201.80,201.00,205.90,205.10,2245131,NaN,NaN,NaN,NaN,NaN,200.65,200.00,203.80,203.00,48280182,NaN,NaN,NaN,NaN,NaN
203,Aqua Logistics Ltd ,"Jan 25, 2010","Feb 2, 2010",10,200,225,25,"BSE, NSE","6,916,225 Eq Shares of ₹10 (aggregating up to ₹150.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, February 23, 2010",Tuesday,2010,533159,AQUA,B,INE544K01018,0.26,5.07,3.00,1.94,Link Intime India Private Ltd,NaN,NaN,225.00,223.75,246.00,244.60,27008071,NaN,NaN,NaN,NaN,NaN,219.40,219.40,245.80,244.30,19063341,NaN,NaN,NaN,NaN,NaN
204,Birla Shloka Edutech Limited FPO (Birla Shloka FPO) Detail,"Jan 11, 2010","Jan 13, 2010",10,45,50,120,BSE,"6,955,000 Eq Shares of ₹10 (aggregating up to ₹24.78 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, January 29, 2010",Friday,2010,511607,NaN,B,INE814E01018,0.00,5.45,1.76,1.43,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.00,46.15,51.40,50.00,983748,NaN,NaN,NaN,NaN,NaN
205,Jubilant Foodworks Ltd ,"Jan 18, 2010","Jan 20, 2010",10,135,145,40,"BSE, NSE","22,670,447 Eq Shares of ₹10 (aggregating up to ₹328.72 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, February 8, 2010",Monday,2010,533155,JUBLFOOD,B,INE797F01012,59.39,51.95,3.79,31.11,Link Intime India Private Ltd,NaN,NaN,160.00,160.00,240.90,229.10,56963373,NaN,NaN,NaN,NaN,NaN,161.60,161.60,241.95,229.00,31753857,NaN,NaN,NaN,NaN,NaN
206,Thangamayil Jewellery Limited ,"Jan 27, 2010","Jan 29, 2010",10,70,75,80,"BSE, NSE","3,833,667 Eq Shares of ₹10 (aggregating up to ₹28.76 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, February 19, 2010",Friday,2010,533158,THANGAMAYL,B,INE085J01014,0.52,1.52,2.26,1.12,S.K.D.C Consultants Limited,NaN,NaN,75.70,70.00,82.00,71.05,11915169,NaN,NaN,NaN,NaN,NaN,70.00,70.00,79.00,71.10,8613802,NaN,NaN,NaN,NaN,NaN
207,Syncom Healthcare Limited ,"Jan 27, 2010","Jan 29, 2010",10,65,75,90,"BSE, NSE","7,500,000 Eq Shares of ₹10 (aggregating up to ₹56.25 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, February 15, 2010",Monday,2010,533157,SYNCOM,B,INE602K01014,0.99,16.60,6.25,5.17,Link Intime India Private Ltd,NaN,NaN,89.90,85.75,107.20,87.75,52499576,NaN,NaN,NaN,NaN,NaN,88.00,85.80,107.25,87.85,26101821,NaN,NaN,NaN,NaN,NaN
208,Vascon Engineers Limited ,"Jan 27, 2010","Jan 29, 2010",10,165,185,35,"BSE, NSE","10,800,000 Eq Shares of ₹10 (aggregating up to ₹178.20 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, February 15, 2010",Monday,2010,533156,VASCONEQ,B,INE893I01013,1.12,3.65,0.62,1.22,KFintech Private Limited,NaN,NaN,156.00,145.10,171.95,148.05,9470462,NaN,NaN,NaN,NaN,NaN,170.00,144.00,173.45,147.20,5951747,NaN,NaN,NaN,NaN,NaN
209,Emmbi Polyarns Limited ,"Feb 1, 2010","Feb 3, 2010",10,40,45,150,"BSE, NSE","8,657,700 Eq Shares of ₹10 (aggregating up to ₹38.96 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, February 24, 2010",Wednesday,2010,533161,EMMBI,B,INE753K01015,0.43,5.55,0.46,1.20,Datamatics Financial Services Ltd,NaN,NaN,46.00,26.65,48.30,28.75,61482682,NaN,NaN,NaN,NaN,NaN,45.50,26.50,48.35,28.65,57173030,NaN,NaN,NaN,NaN,NaN
210,Rural Electrification Corporation Ltd FPO (REC FPO) Detail,"Feb 19, 2010","Feb 23, 2010",10,203,,30,"BSE, NSE","171,732,000 Eq Shares of ₹10 (aggregating up to ₹3,530.04 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, March 8, 2010",Monday,2010,532955,RECLTD,NaN,INE020B01018,5.52,2.05,0.23,3.14,KFintech Private Limited,NaN,NaN,237.70,230.00,244.60,241.45,16844400,NaN,NaN,NaN,NaN,NaN,230.00,225.05,244.30,241.85,4986172,NaN,NaN,NaN,NaN,NaN
211,D B Realty Limited ,"Jan 29, 2010","Feb 2, 2010",10,468,486,14,"BSE, NSE","32,051,282 Eq Shares of ₹10 (aggregating up to ₹1,500.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, February 24, 2010",Wednesday,2010,533160,DBREALTY,B,INE879I01012,4.47,4.25,0.37,2.95,Link Intime India Private Ltd,NaN,NaN,452.10,412.45,467.00,456.20,25101889,NaN,NaN,NaN,NaN,NaN,430.00,412.50,466.20,455.40,20920602,NaN,NaN,NaN,NaN,NaN
212,Hathway Cable & Datacom Ltd ,"Feb 9, 2010","Feb 11, 2010",10,240,265,25,"BSE, NSE","27,750,000 Eq Shares of ₹10 (aggregating up to ₹666.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, February 25, 2010",Thursday,2010,533162,HATHWAY,B,INE982F01036,1.43,4.29,0.28,1.36,Link Intime India Private Ltd,NaN,NaN,250.00,204.50,250.00,207.65,7443846,NaN,NaN,NaN,NaN,NaN,246.00,206.20,246.00,207.80,6249043,NaN,NaN,NaN,NaN,NaN
213,ARSS Infrastructure Projects Ltd ,"Feb 8, 2010","Feb 11, 2010",10,410,450,15,"BSE, NSE","2,288,889 Eq Shares of ₹10 (aggregating up to ₹103.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, March 3, 2010",Wednesday,2010,533163,ARSSINFRA,B,INE267I01010,49.34,124.53,18.55,47.62,Bigshare Services Pvt Ltd,NaN,NaN,630.00,630.00,751.80,737.45,15759450,NaN,NaN,NaN,NaN,NaN,640.00,640.00,754.70,736.30,11514084,NaN,NaN,NaN,NaN,NaN
214,Texmo Pipes & Products Ltd ,"Feb 16, 2010","Feb 19, 2010",10,85,90,75,"BSE, NSE","5,000,000 Eq Shares of ₹10 (aggregating up to ₹45.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, March 10, 2010",Wednesday,2010,533164,TEXMOPIPES,B,INE141K01013,1.02,30.50,7.26,7.48,KFintech Private Limited,NaN,NaN,92.80,92.80,139.90,137.15,40523703,NaN,NaN,NaN,NaN,NaN,101.50,101.50,140.70,137.25,33696269,NaN,NaN,NaN,NaN,NaN
215,Man Infraconstruction Ltd ,"Feb 18, 2010","Feb 22, 2010",10,243,252,22,"BSE, NSE","5,625,150 Eq Shares of ₹10 (aggregating up to ₹141.75 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, March 11, 2010",Thursday,2010,533169,MANINFRA,B,INE949H01023,96.06,104.57,10.26,62.53,Link Intime India Private Ltd,NaN,NaN,318.00,318.00,375.00,349.85,20461610,NaN,NaN,NaN,NaN,NaN,335.00,335.00,374.90,348.25,16508586,NaN,NaN,NaN,NaN,NaN
216,United Bank of India ,"Feb 23, 2010","Feb 25, 2010",10,60,66,100,"BSE, NSE","50,000,000 Eq Shares of ₹10 (aggregating up to ₹324.98 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, March 18, 2010",Thursday,2010,533171,UNITEDBNK,B,INE695A01019,47.08,39.15,9.80,33.38,Link Intime India Private Ltd,NaN,NaN,74.90,68.00,77.00,68.65,55114360,NaN,NaN,NaN,NaN,NaN,77.00,68.10,77.00,68.80,28299084,NaN,NaN,NaN,NaN,NaN
