Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Listing_day_open,Listing_day_last_trade,Bidding_Period,Bid_Opening_Month,Bid_Closing_Month
700.0,765.0,15.0,1,17.8,3.57,0.92,6.15,855.9,877.85,2,10,10
61.0,65.0,200.0,1,0.97,2.09,1.54,1.34,60.025,63.025,2,8,8
100.0,103.0,145.0,1,3.04,1.66,1.69,2.24,110.875,106.17500000000001,2,8,9
316.0,328.0,45.0,1,4.39,0.54,0.9,1.82,315.0,270.575,2,10,10
173.0,180.0,80.0,1,25.55,87.38,1.98,27.0,222.85,208.575,2,10,10
540.0,550.0,20.0,1,63.56,61.28,4.24,33.41,718.5,824.575,2,12,12
1020.0,1050.0,14.0,1,57.19,129.96,3.17,44.29,1380.0,1381.575,2,12,12
245.0,250.0,60.0,1,24.43,3.62,1.89,8.7,291.0,336.825,4,12,12
180.0,186.0,80.0,1,2.62,0.73,2.01,1.91,164.05,177.35,2,1,1
785.0,850.0,15.0,1,26.97,185.24,10.61,66.02,860.0,1026.975,2,2,2
311.0,321.0,45.0,1,4.34,36.69,3.82,10.8,304.975,254.14999999999998,2,2,2
205.0,218.0,65.0,1,2.36,0.43,0.83,1.56,210.0,170.975,2,3,3
40.0,45.0,300.0,1,1.01,2.02,2.08,1.21,47.3,45.474999999999994,4,3,3
360.0,432.0,34.0,1,0.86,2.23,1.31,1.11,455.5,445.725,2,3,3
109.0,110.0,135.0,1,14.93,57.29,1.4,17.21,144.55,135.225,2,4,4
420.0,446.0,33.0,1,73.18,225.3,8.73,73.55,663.5,618.45,2,4,4
207.0,210.0,70.0,1,33.84,135.45,4.02,40.68,229.45,231.575,4,4,5
215.0,227.0,65.0,1,1.15,3.08,2.12,1.83,216.6,247.4,7,5,5
380.0,421.0,35.0,1,72.84,191.61,6.82,64.54,540.0,520.0999999999999,2,6,6
310.0,317.0,45.0,1,59.02,392.21,31.23,143.99,499.5,503.05,2,6,7
705.0,710.0,20.0,1,19.91,10.76,7.39,11.69,666.8,697.625,2,7,7
880.0,896.0,16.0,1,94.03,393.1,11.67,116.02,1210.0,1178.1999999999998,2,7,7
214.0,219.0,65.0,1,9.76,79.64,2.35,20.95,240.0,251.85,2,8,8
258.0,268.0,55.0,1,2.21,5.1,1.9,2.66,290.0,291.875,2,8,8
224.0,225.0,65.0,1,85.08,198.06,5.7,69.62,273.95,299.35,4,8,8
300.0,334.0,44.0,1,11.83,28.55,1.42,10.48,329.5,297.6,2,9,9
850.0,860.0,16.0,1,5.01,1.03,1.74,2.52,910.0,867.05,3,9,9
205.0,207.0,70.0,1,17.18,217.47,11.84,54.88,250.25,245.10000000000002,2,9,9
175.0,202.0,70.0,1,5.77,22.2,3.31,8.06,190.025,189.175,4,9,9
467.0,472.0,30.0,1,53.43,127.07,2.69,43.84,571.0,647.3,2,10,10
440.0,445.0,33.0,1,4.94,0.42,0.82,1.86,430.0,460.7,2,10,10
750.0,775.0,19.0,1,37.33,86.17,1.32,29.53,861.5,890.875,2,10,10
680.0,730.0,20.0,1,14.51,3.35,0.44,5.09,860.0,1032.0,2,11,12
426.0,428.0,35.0,1,10.54,3.57,1.58,4.53,489.95,480.45,2,12,12
295.0,299.0,50.0,1,144.61,277.74,7.3,104.48,602.2,641.175,2,3,3
324.0,333.0,45.0,1,39.78,109.13,9.85,39.67,416.5,373.025,2,3,3
500.0,502.0,29.0,1,3.65,0.21,1.63,1.9,400.0,420.0,2,3,3
440.0,460.0,32.0,1,51.62,90.68,15.35,41.88,550.025,632.625,2,3,3
56.0,60.0,200.0,1,55.45,330.36,10.79,79.53,73.225,72.525,3,5,5
100.0,102.0,10000.0,1,10.81,0.0,0.0,8.57,102.625,101.795,2,5,5
205.0,210.0,70.0,1,8.38,10.39,6.47,8.58,194.5,204.225,2,5,5
98.0,100.0,10205.0,1,1.14,0.0,0.0,1.35,99.85,98.545,2,5,5
250.0,257.0,55.0,1,2.16,0.48,3.1,1.88,257.0,263.4,2,6,6
600.0,603.0,24.0,1,4.68,0.45,3.51,3.29,611.5,601.275,4,6,6
167.0,170.0,88.0,1,1.48,2.85,0.99,1.53,170.0,171.65,2,6,6
355.0,358.0,41.0,1,78.77,143.51,3.52,53.6,527.5,541.425,2,6,6
108.0,108.0,125.0,1,0.0,478.39,58.92,273.05,254.575,260.825,5,7,7
424.0,432.0,30.0,1,63.51,288.87,8.51,76.19,437.575,525.075,2,8,8
805.0,815.0,18.0,1,5.64,1.66,19.51,7.07,877.4,756.875,2,7,8
171.0,175.0,80.0,1,1.91,7.82,8.53,6.14,200.95,210.975,2,8,8
195.0,205.0,73.0,1,1.33,1.63,5.69,1.81,204.95,208.3,2,9,9
1760.0,1766.0,8.0,1,134.66,345.61,10.6,117.83,2725.0,2892.175,2,9,9
930.0,938.0,15.0,1,76.89,101.15,8.48,47.39,1260.0,1179.475,4,9,9
983.0,985.0,15.0,1,1.88,0.41,18.16,4.44,985.0,902.925,2,9,9
245.0,250.0,60.0,1,131.32,638.05,17.57,183.03,399.0,342.475,2,9,9
685.0,700.0,21.0,1,12.56,0.7,0.81,3.55,734.15,707.775,2,9,9
651.0,661.0,22.0,1,8.17,0.83,1.23,2.98,650.55,681.375,4,9,9
450.0,460.0,32.0,1,150.96,236.04,7.16,95.16,618.3,595.5999999999999,2,10,10
456.0,459.0,32.0,1,148.33,378.53,15.97,128.39,660.0,654.575,4,10,10
1645.0,1650.0,9.0,1,2.56,0.85,2.61,2.28,1500.0,1627.8000000000002,2,10,10
855.0,912.0,16.0,1,2.25,0.22,0.63,1.38,850.0,872.3499999999999,2,10,10
247.0,252.0,59.0,1,118.4,209.44,5.65,81.54,294.95,284.2,2,10,10
425.0,429.0,34.0,1,15.6,2.07,6.1,7.9,430.5,429.325,2,10,11
770.0,800.0,18.0,1,2.34,0.11,0.11,1.2,749.45,726.075,2,11,11
745.0,750.0,20.0,1,2.45,0.18,2.34,1.9,728.5,688.675,4,11,11
275.0,290.0,50.0,1,16.6,2.29,0.91,4.89,310.5,344.425,2,11,11
45.0,50.0,280.0,1,103.35,396.99,73.32,241.75,114.5,120.225,5,12,12
660.0,664.0,22.0,1,12.36,11.15,3.28,7.56,669.0,686.075,2,12,12
245.0,248.0,60.0,1,4.34,0.42,2.98,2.82,238.35,239.425,2,12,12
270.0,275.0,50.0,1,101.93,958.07,40.19,248.51,471.5,447.925,2,1,1
240.0,245.0,61.0,1,15.62,5.52,5.18,8.25,253.55,252.7,2,1,1
855.0,859.0,17.0,1,174.99,519.26,11.57,165.38,1177.5,1241.25,2,1,1
1470.0,1480.0,10.0,1,54.27,6.96,5.92,19.96,1522.5,1699.275,2,1,1
180.0,190.0,78.0,1,2.1,0.55,1.18,1.31,182.55,180.7,3,2,2
263.0,270.0,55.0,1,8.37,4.97,3.08,4.98,270.0,268.9,2,2,2
370.0,375.0,40.0,1,38.68,13.89,1.06,14.56,492.0,477.025,4,3,3
413.0,428.0,35.0,1,1.5,0.5,1.37,1.29,365.0,390.25,2,3,3
1215.0,1240.0,12.0,1,1.73,0.03,0.39,0.99,1160.5,1130.6,4,3,3
175.0,180.0,80.0,1,1.55,3.44,2.01,2.53,136.0,142.8,5,3,3
327.0,332.0,45.0,1,14.5,6.39,1.31,6.14,345.55,322.35,2,3,3
87.0,90.0,150.0,1,1.96,0.13,0.72,1.21,87.0,90.025,2,3,3
519.0,520.0,28.0,1,1.04,0.36,0.89,0.78,433.05,445.07500000000005,4,3,3
54.0,56.0,265.0,1,3.88,0.12,0.12,1.19,61.6,71.625,2,3,3
570.0,572.0,26.0,1,16.08,6.91,1.17,6.65,600.0,585.8,2,5,5
180.0,185.0,80.0,1,71.71,194.56,14.24,66.74,190.0,213.0,2,6,6
780.0,783.0,19.0,1,12.85,21.0,1.19,8.77,815.0,822.8,2,6,6
965.0,967.0,15.0,1,9.15,2.45,0.84,3.54,1023.5,1038.9499999999998,2,6,6
1095.0,1100.0,13.0,1,4435511.0,3326634.0,6.57,18804290.0,1732.625,1815.5500000000002,2,7,7
418.0,422.0,35.0,1,5.52,0.98,0.87,2.22,387.5,421.425,2,8,8
714.0,716.0,20.0,1,13.47,5.08,0.57,5.22,715.5,658.4749999999999,2,7,7
275.0,280.0,53.0,1,4.66,1.1,0.03,1.57,291.0,291.04999999999995,2,1,1
114.0,118.0,120.0,1,1.81,0.31,0.24,1.02,103.25,104.19999999999999,7,9,10
470.0,475.0,30.0,1,12.29,4.92,9.66,9.77,411.15,415.975,2,9,9
818.0,821.0,18.0,1,2.77,0.26,0.25,0.97,754.0,773.75,2,9,9
120.0,128.0,90.0,1,1.13,2.15,2.95,1.46,113.0,114.075,7,3,3
299.0,300.0,400.0,1,2.15,3.09,0.0,2.57,304.0,314.385,2,3,3
877.0,880.0,17.0,1,8.88,3.03,2.15,5.83,959.0,959.7,2,4,4
533.0,538.0,27.0,1,92.44,110.42,4.5,51.88,633.0,654.9,4,4,4
17.0,19.0,780.0,1,1.36,0.8,2.92,1.82,19.0,19.05,5,3,4
212.0,215.0,65.0,1,30.49,113.88,15.86,41.07,251.0,263.55,2,4,4
970.0,973.0,15.0,1,30.83,62.13,14.07,36.21,1180.0,1302.25,2,6,6
740.0,745.0,20.0,1,55.31,198.69,10.94,86.48,927.95,874.375,2,7,7
853.0,856.0,17.0,1,3.11,0.55,0.09,1.05,824.5,848.0999999999999,2,8,8
775.0,780.0,19.0,1,1.02,0.89,0.3,0.85,703.0,725.7750000000001,2,8,8
55.0,60.0,240.0,1,1.0,1.76,0.64,1.12,61.2,60.35,4,9,10
315.0,320.0,40.0,1,108.79,354.52,14.83,111.91,635.0,728.175,3,9,10
193.0,195.0,75.0,1,62.18,164.68,44.46,86.91,275.0,300.07500000000005,4,11,11
36.0,37.0,400.0,1,110.72,473.0,48.97,165.66,58.375,55.925,2,12,12
750.0,755.0,19.0,1,57.18,45.23,2.5,26.54,659.5,682.3,3,3,3
177.0,178.0,84.0,1,3.54,1.21,1.89,2.21,160.0,166.75,2,12,12
32.0,33.0,450.0,1,3.91,0.22,2.08,1.95,31.05,32.775,2,10,10
423.0,425.0,35.0,1,85.26,239.83,7.23,79.37,669.625,742.0,2,7,7
12.0,13.0,1000.0,1,1.9,0.63,0.47,0.93,12.3,12.3,2,7,7
274.0,275.0,200.0,1,10.61,15.51,0.0,12.96,303.0,303.78499999999997,2,7,7
552.0,554.0,27.0,1,3.34,0.93,2.32,2.31,495.125,476.4,2,9,10
165.0,166.0,90.0,1,77.43,351.46,70.94,150.98,350.5,370.975,2,9,9
305.0,306.0,49.0,1,5.74,0.69,4.31,3.94,275.0,275.82500000000005,2,9,9
345.0,350.0,40.0,1,89.76,192.81,12.67,73.3,712.5,651.2,2,9,9
338.0,340.0,44.0,1,113.54,449.14,41.15,149.3,730.975,584.8,2,9,9
116.0,120.0,125.0,1,21.99,1.54,23.71,9.51,130.05,136.55,8,9,10
135.0,145.0,103.0,1,89.71,678.88,35.63,157.41,215.575,172.475,2,9,10
1490.0,1500.0,10.0,1,6.4,0.51,0.24,2.06,1705.5,1820.0,2,11,11
59.0,60.0,250.0,1,86.64,354.11,68.15,156.65,113.925,136.7,2,12,12
286.0,288.0,50.0,1,176.85,620.86,29.33,198.02,500.5,594.875,2,12,12
10.0,10.0,10000.0,2,0.0,1.4,2.0,1.71,10.2,9.25,6,1,2
95.0,100.0,1200.0,2,0.0,2.45,0.91,1.68,108.0,113.4,2,12,12
55.0,55.0,2000.0,2,0.0,466.69,88.58,278.82,66.0,66.0,6,12,1
60.0,60.0,2000.0,2,0.0,0.67,3.87,2.27,48.0,49.7,4,1,1
20.0,20.0,6000.0,2,0.0,0.51,2.63,1.57,16.0,16.0,2,1,1
10.0,10.0,10000.0,2,0.0,1.89,7.73,4.81,10.35,10.81,6,1,1
36.0,36.0,3000.0,2,0.0,0.78,9.61,5.2,34.15,34.6,6,1,1
100.0,100.0,1200.0,2,0.0,1.16,2.52,1.84,100.0,97.15,2,1,1
36.0,36.0,3000.0,2,0.0,0.73,0.17,0.45,35.1,39.1,5,2,2
45.0,45.0,3000.0,2,0.0,155.32,40.6,97.96,50.75,48.35,5,2,2
150.0,150.0,1000.0,2,0.0,1.98,0.73,1.36,153.95,150.1,4,2,2
54.0,54.0,2000.0,2,0.0,0.17,1.29,0.73,53.35,50.7,2,3,3
57.0,57.0,2000.0,2,0.0,2.0,0.25,1.12,58.65,55.35,11,3,3
13.0,13.0,8000.0,2,0.0,1.22,1.0,1.11,15.25,15.23,4,3,3
65.0,65.0,2000.0,2,0.0,1.91,0.43,1.17,64.95,65.65,4,3,3
60.0,63.0,2000.0,2,0.0,1.06,2.77,1.91,64.0,61.95,2,3,3
15.0,15.0,8000.0,2,0.0,1.95,0.25,1.1,15.01,15.76,2,3,3
18.0,18.0,8000.0,2,0.0,0.81,1.83,1.32,18.5,18.0,2,3,3
